Mun;Mas;Fem;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Médico Cirurgião Geral;Médico Clínico;Médico Ginecologista Obstetra;Médico de família e comunidade;Médico Pediatra;Médico geriatra;Médico urologista;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO
110001 Alta Floresta D'Oeste;11503;11013;1601;1592;1556;1623;3652;3568;3101;2901;1782;812;328;1.0;11.0;0.0;0.0;0.0;0.0;0.0;4.0;20.0;3.0;0.0;3.0;7.0;1.0;1.0;6.0;4.0;0.0;2.0;0.0;0.0;0.0
110037 Alto Alegre dos Parecis;6750;6518;1129;1047;963;1070;2269;1909;1930;1516;860;432;143;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;9.0;3.0;1.0;1.0;2.0;1.0;1.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0
110040 Alto Paraíso;11326;10932;1896;1832;1651;1760;3798;3366;3251;2445;1387;653;219;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;0.0;1.0;1.0;2.0;0.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0
110034 Alvorada D'Oeste;6970;6837;1003;980;937;973;2160;2082;2030;1734;1180;514;214;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;12.0;3.0;0.0;0.0;5.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0
110002 Ariquemes;55496;55652;8396;8262;8317;9490;20100;18822;15160;11695;6809;2991;1106;7.0;96.0;16.0;0.0;15.0;0.0;2.0;7.0;112.0;50.0;5.0;8.0;12.0;25.0;1.0;0.0;13.0;1.0;10.0;1.0;0.0;0.0
110045 Buritis;20266;20777;3654;3429;3207;3479;7076;6456;5485;3810;2651;1370;426;0.0;3.0;0.0;0.0;9.0;0.0;0.0;3.0;27.0;6.0;2.0;3.0;5.0;1.0;0.0;0.0;4.0;1.0;3.0;0.0;0.0;0.0
110003 Cabixi;2581;2486;379;375;332;292;724;754;785;699;459;191;77;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
110060 Cacaulândia;3144;3163;542;503;450;484;1008;931;855;702;479;256;97;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0
110004 Cacoal;42314;44102;5846;5939;6065;6412;14391;14626;12374;10077;6509;2939;1238;6.0;109.0;15.0;2.0;24.0;0.0;2.0;23.0;285.0;90.0;11.0;20.0;128.0;45.0;6.0;1.0;11.0;5.0;8.0;0.0;1.0;0.0
110070 Campo Novo de Rondônia;7515;6876;1347;1234;1077;1155;2405;2245;2110;1483;870;358;107;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;8.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
110080 Candeias do Jamari;14210;13858;2763;2479;2210;2335;4903;4488;3810;2613;1530;718;219;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;0.0;0.0;4.0;2.0;0.0;5.0;1.0;0.0;1.0;0.0;0.0;0.0
110090 Castanheiras;1456;1467;192;186;166;185;474;427;453;421;245;131;43;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
110005 Cerejeiras;7920;8168;1068;1097;1077;1094;2594;2648;2254;2129;1263;617;247;0.0;10.0;0.0;0.0;1.0;0.0;0.0;2.0;12.0;5.0;0.0;0.0;8.0;2.0;0.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0
110092 Chupinguaia;6009;5746;1111;1034;952;1006;2237;1890;1665;1079;502;218;61;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;2.0;0.0;4.0;2.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
110006 Colorado do Oeste;7546;7667;1008;1016;987;959;2263;2464;2235;1959;1359;670;293;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;9.0;1.0;1.0;2.0;5.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0
110007 Corumbiara;3727;3325;484;481;434;457;1212;1164;1117;854;490;255;104;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
110008 Costa Marques;10154;9101;2027;1836;1606;1688;3647;2981;2489;1623;879;359;120;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;9.0;2.0;0.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
