Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Total
110001 Alta Floresta D'Oeste;6.0;4.0;0.0;2.0;0.0;0.0;0.0;12.0
110037 Alto Alegre dos Parecis;0.0;6.0;0.0;1.0;0.0;0.0;0.0;7.0
110040 Alto Paraíso;2.0;4.0;0.0;1.0;0.0;0.0;0.0;7.0
110034 Alvorada D'Oeste;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
110002 Ariquemes;0.0;13.0;1.0;10.0;1.0;0.0;0.0;25.0
110045 Buritis;0.0;4.0;1.0;3.0;0.0;0.0;0.0;8.0
110003 Cabixi;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
110060 Cacaulândia;2.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0
110004 Cacoal;1.0;11.0;5.0;8.0;0.0;1.0;0.0;26.0
110070 Campo Novo de Rondônia;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
110080 Candeias do Jamari;5.0;1.0;0.0;1.0;0.0;0.0;0.0;7.0
110090 Castanheiras;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
110005 Cerejeiras;2.0;4.0;0.0;1.0;0.0;0.0;0.0;7.0
110092 Chupinguaia;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
110006 Colorado do Oeste;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
110007 Corumbiara;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0
110008 Costa Marques;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
110094 Cujubim;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0
110009 Espigão D'Oeste;9.0;2.0;0.0;3.0;0.0;0.0;0.0;14.0
110100 Governador Jorge Teixeira;2.0;4.0;0.0;0.0;0.0;0.0;0.0;6.0
110010 Guajará-Mirim;4.0;6.0;0.0;2.0;0.0;0.0;0.0;12.0
110110 Itapuã do Oeste;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
110011 Jaru;2.0;14.0;0.0;3.0;0.0;0.0;0.0;19.0
110012 Ji-Paraná;0.0;16.0;3.0;6.0;1.0;0.0;0.0;26.0
110013 Machadinho D'Oeste;0.0;7.0;1.0;1.0;0.0;0.0;0.0;9.0
110120 Ministro Andreazza;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0
110130 Mirante da Serra;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
110140 Monte Negro;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
110014 Nova Brasilândia D'Oeste;0.0;4.0;0.0;1.0;0.0;0.0;0.0;5.0
110033 Nova Mamoré;2.0;3.0;0.0;1.0;0.0;0.0;0.0;6.0
110143 Nova União;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0
110050 Novo Horizonte do Oeste;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
110015 Ouro Preto do Oeste;2.0;7.0;0.0;4.0;0.0;0.0;0.0;13.0
110145 Parecis;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
110018 Pimenta Bueno;1.0;6.0;2.0;2.0;0.0;0.0;0.0;11.0
110146 Pimenteiras do Oeste;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
110020 Porto Velho;14.0;49.0;3.0;16.0;4.0;0.0;0.0;86.0
110025 Presidente Médici;3.0;7.0;2.0;1.0;0.0;0.0;0.0;13.0
110147 Primavera de Rondônia;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
110026 Rio Crespo;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0
110028 Rolim de Moura;2.0;10.0;4.0;3.0;0.0;0.0;0.0;19.0
110029 Santa Luzia D'Oeste;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0
110148 São Felipe D'Oeste;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0
110149 São Francisco do Guaporé;0.0;6.0;0.0;1.0;0.0;0.0;0.0;7.0
110032 São Miguel do Guaporé;4.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0
110150 Seringueiras;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
110155 Teixeirópolis;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
110160 Theobroma;3.0;2.0;0.0;1.0;0.0;0.0;0.0;6.0
110170 Urupá;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
110175 Vale do Anari;3.0;1.0;0.0;1.0;0.0;0.0;0.0;5.0
110180 Vale do Paraíso;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0
110030 Vilhena;7.0;7.0;0.0;2.0;0.0;0.0;0.0;16.0
120001 Acrelândia;0.0;6.0;2.0;0.0;0.0;0.0;0.0;8.0
120005 Assis Brasil;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
120010 Brasiléia;1.0;9.0;0.0;1.0;0.0;0.0;0.0;11.0
120013 Bujari;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
120017 Capixaba;4.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0
120020 Cruzeiro do Sul;10.0;26.0;2.0;2.0;2.0;0.0;0.0;42.0
120025 Epitaciolândia;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
120030 Feijó;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
120032 Jordão;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
120033 Mâncio Lima;1.0;9.0;0.0;1.0;0.0;0.0;0.0;11.0
120034 Manoel Urbano;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0
120035 Marechal Thaumaturgo;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
120038 Plácido de Castro;0.0;8.0;0.0;1.0;0.0;0.0;0.0;9.0
120080 Porto Acre;0.0;5.0;0.0;0.0;0.0;0.0;0.0;5.0
120039 Porto Walter;1.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0
120040 Rio Branco;0.0;66.0;9.0;9.0;4.0;0.0;0.0;88.0
120042 Rodrigues Alves;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0
120043 Santa Rosa do Purus;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0
120050 Sena Madureira;0.0;17.0;1.0;1.0;0.0;0.0;0.0;19.0
120045 Senador Guiomard;4.0;9.0;0.0;1.0;0.0;0.0;0.0;14.0
120060 Tarauacá;11.0;1.0;0.0;1.0;0.0;0.0;0.0;13.0
120070 Xapuri;0.0;7.0;0.0;1.0;0.0;0.0;0.0;8.0
130002 Alvarães;2.0;4.0;0.0;1.0;0.0;0.0;0.0;7.0
130006 Amaturá;0.0;3.0;0.0;1.0;0.0;0.0;0.0;4.0
130008 Anamã;6.0;1.0;1.0;1.0;0.0;0.0;0.0;9.0
130010 Anori;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0
130014 Apuí;5.0;2.0;0.0;1.0;0.0;0.0;0.0;8.0
