Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
110001 Alta Floresta D'Oeste;4.0;20.0;3.0;0.0;3.0;7.0;1.0;1.0;39.0
110037 Alto Alegre dos Parecis;1.0;9.0;3.0;1.0;1.0;2.0;1.0;1.0;19.0
110040 Alto Paraíso;0.0;5.0;4.0;0.0;1.0;1.0;2.0;0.0;13.0
110034 Alvorada D'Oeste;2.0;12.0;3.0;0.0;0.0;5.0;1.0;0.0;23.0
110002 Ariquemes;7.0;112.0;50.0;5.0;8.0;12.0;25.0;1.0;220.0
110045 Buritis;3.0;27.0;6.0;2.0;3.0;5.0;1.0;0.0;47.0
110003 Cabixi;1.0;6.0;2.0;1.0;1.0;1.0;1.0;0.0;13.0
110060 Cacaulândia;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0
110004 Cacoal;23.0;285.0;90.0;11.0;20.0;128.0;45.0;6.0;608.0
110070 Campo Novo de Rondônia;0.0;8.0;2.0;1.0;1.0;1.0;1.0;0.0;14.0
110080 Candeias do Jamari;0.0;12.0;1.0;0.0;0.0;4.0;2.0;0.0;19.0
110090 Castanheiras;1.0;2.0;2.0;0.0;1.0;0.0;2.0;0.0;8.0
110005 Cerejeiras;2.0;12.0;5.0;0.0;0.0;8.0;2.0;0.0;29.0
110092 Chupinguaia;0.0;3.0;2.0;2.0;0.0;4.0;2.0;0.0;13.0
110006 Colorado do Oeste;0.0;12.0;9.0;1.0;1.0;2.0;5.0;0.0;30.0
110007 Corumbiara;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0
110008 Costa Marques;2.0;9.0;2.0;0.0;1.0;2.0;1.0;0.0;17.0
110094 Cujubim;0.0;14.0;1.0;0.0;1.0;0.0;2.0;0.0;18.0
110009 Espigão D'Oeste;1.0;26.0;10.0;2.0;2.0;21.0;5.0;0.0;67.0
