Mun;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;POLICLINICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;Precedimentos com finalidade diagnóstica;Procedimentos Cirúrgicos;Procedimentos Clinicos;Ações de promoção e prevenção em saúde;Ações complementares de atenção a saude
110001 Alta Floresta D'Oeste;6;4;0;2;0;0;0;0;96;1289;4316;55066
110037 Alto Alegre dos Parecis;0;6;0;1;0;0;0;0;0;566;1247;0
110040 Alto Paraíso;2;4;0;1;0;0;0;0;0;262;43604;1201
110034 Alvorada D'Oeste;0;7;0;0;0;0;0;0;112;446;2038;0
110002 Ariquemes;0;13;1;10;1;0;0;0;1334;6241;4630;56832
110045 Buritis;0;4;1;3;0;0;0;0;92;924;87330;69794
110003 Cabixi;0;2;0;0;0;0;0;0;0;195;1084;0
110060 Cacaulândia;2;1;0;1;0;0;0;0;0;141;10366;0
110004 Cacoal;1;11;5;8;0;1;0;1;4354;6105;18374;370
110070 Campo Novo de Rondônia;0;4;0;0;0;0;0;0;0;60;92727;0
110080 Candeias do Jamari;5;1;0;1;0;0;0;0;0;0;161;0
110090 Castanheiras;0;2;0;0;0;0;0;0;0;0;4130;0
110005 Cerejeiras;2;4;0;1;0;0;0;0;166;611;17253;0
110092 Chupinguaia;0;5;0;1;0;0;0;0;0;0;12748;579
110006 Colorado do Oeste;0;5;0;1;0;0;0;0;0;363;2738;3222
110007 Corumbiara;0;4;0;0;0;0;0;0;0;0;20439;672
110008 Costa Marques;0;3;0;0;0;0;0;0;0;182;1551;0
110094 Cujubim;0;1;0;1;0;0;0;0;0;773;41544;6495
110009 Espigão D'Oeste;9;2;0;3;0;0;0;0;87;1078;7269;42936
110100 Governador Jorge Teixeira;2;4;0;0;0;0;0;0;0;0;1895;0
110010 Guajará-Mirim;4;6;0;2;0;0;0;0;617;2406;1051;0
110110 Itapuã do Oeste;0;2;0;1;0;0;0;0;0;76;5856;0
110011 Jaru;2;14;0;3;0;0;0;0;799;2213;91962;13462
110012 Ji-Paraná;0;16;3;6;1;0;0;0;2789;5206;124545;22998
110013 Machadinho D'Oeste;0;7;1;1;0;0;0;0;227;901;16251;42409
