Mun;2017;2018;2019;2020;2021;Total
110001 Alta Floresta D'Oeste;0;0;7050;33908;55066;96024
110037 Alto Alegre dos Parecis;0;0;0;0;0;0
110040 Alto Paraíso;0;0;551;1222;1201;2974
110034 Alvorada D'Oeste;0;0;0;0;0;0
110002 Ariquemes;2031;12647;56519;34655;56832;162684
110045 Buritis;0;0;3245;49005;69794;122044
110003 Cabixi;0;0;0;0;0;0
110060 Cacaulândia;0;0;0;0;0;0
110004 Cacoal;22;15648;47823;23378;370;87241
110070 Campo Novo de Rondônia;0;0;0;0;0;0
110080 Candeias do Jamari;0;0;0;0;0;0
110090 Castanheiras;0;0;0;0;0;0
110005 Cerejeiras;0;0;0;0;0;0
110092 Chupinguaia;150;246;417;395;579;1787
110006 Colorado do Oeste;0;0;2514;9836;3222;15572
110007 Corumbiara;0;0;0;0;672;672
110008 Costa Marques;0;0;0;0;0;0
110094 Cujubim;5529;7216;6395;5120;6495;30755
110009 Espigão D'Oeste;941;6194;69779;23130;42936;142980
110100 Governador Jorge Teixeira;0;0;0;0;0;0
110010 Guajará-Mirim;107;82;0;0;0;189
110110 Itapuã do Oeste;0;0;0;0;0;0
110011 Jaru;5005;10378;16224;11480;13462;56549
110012 Ji-Paraná;1591;1968;631;0;22998;27188
110013 Machadinho D'Oeste;575;1631;4033;31263;42409;79911
110120 Ministro Andreazza;18;32;0;0;0;50
110130 Mirante da Serra;0;0;0;0;0;0
110140 Monte Negro;0;0;0;6238;28242;34480
110014 Nova Brasilândia D'Oeste;0;0;0;0;5;5
110033 Nova Mamoré;0;0;0;3557;1162;4719
110143 Nova União;0;0;0;0;0;0
110050 Novo Horizonte do Oeste;0;0;0;0;17459;17459
110015 Ouro Preto do Oeste;0;0;0;0;0;0
110145 Parecis;0;0;0;0;0;0
110018 Pimenta Bueno;0;4054;42098;29240;34537;109929
110146 Pimenteiras do Oeste;11;0;97;838;250;1196
110020 Porto Velho;223298;187955;248825;111845;81571;853494
110025 Presidente Médici;93;130;0;0;7264;7487
110147 Primavera de Rondônia;0;0;0;0;0;0
110026 Rio Crespo;0;0;0;0;0;0
110028 Rolim de Moura;1861;2818;2650;3130;0;10459
110029 Santa Luzia D'Oeste;80;60;0;0;0;140
110148 São Felipe D'Oeste;0;0;0;0;0;0
110149 São Francisco do Guaporé;0;0;0;0;0;0
110032 São Miguel do Guaporé;234;179;0;0;2436;2849
110150 Seringueiras;0;352;812;681;722;2567
110155 Teixeirópolis;0;0;0;0;0;0
110160 Theobroma;0;308;32;0;8;348
110170 Urupá;699;1319;0;0;0;2018
110175 Vale do Anari;0;0;0;0;0;0
110180 Vale do Paraíso;0;0;0;0;0;0
110030 Vilhena;84;0;0;0;0;84
120001 Acrelândia;12;0;0;0;0;12
120005 Assis Brasil;34;0;0;0;0;34
120010 Brasiléia;231;334;0;0;0;565
120013 Bujari;0;0;0;0;0;0
120017 Capixaba;20;0;0;0;0;20
120020 Cruzeiro do Sul;516;3324;0;0;0;3840
120025 Epitaciolândia;0;0;0;0;0;0
120030 Feijó;0;0;0;0;0;0
120032 Jordão;0;0;0;0;0;0
120033 Mâncio Lima;34;0;0;0;0;34
120034 Manoel Urbano;0;0;0;0;0;0
120035 Marechal Thaumaturgo;0;0;0;0;0;0
120038 Plácido de Castro;75;0;0;0;0;75
120080 Porto Acre;4;0;0;0;0;4
120039 Porto Walter;0;0;0;0;0;0
120040 Rio Branco;38892;30409;42702;33598;48770;194371
