Mun;2017;2018;2019;2020;2021;Total
110001 Alta Floresta D'Oeste;21408.0;3613.0;5192.0;5344.0;4316.0;39873.0
110037 Alto Alegre dos Parecis;9989.0;4202.0;317.0;1006.0;1247.0;16761.0
110040 Alto Paraíso;83579.0;16754.0;30801.0;44160.0;43604.0;218898.0
110034 Alvorada D'Oeste;6051.0;1675.0;1712.0;1756.0;2038.0;13232.0
110002 Ariquemes;18006.0;5664.0;6141.0;5097.0;4630.0;39538.0
110045 Buritis;18125.0;598.0;1710.0;33262.0;87330.0;141025.0
110003 Cabixi;2825.0;2072.0;1271.0;1345.0;1084.0;8597.0
110060 Cacaulândia;300.0;593.0;440.0;5246.0;10366.0;16945.0
110004 Cacoal;147413.0;21889.0;17709.0;8262.0;18374.0;213647.0
110070 Campo Novo de Rondônia;160518.0;216601.0;103427.0;86529.0;92727.0;659802.0
110080 Candeias do Jamari;8434.0;9075.0;5031.0;2813.0;161.0;25514.0
110090 Castanheiras;1228.0;185.0;268.0;230.0;4130.0;6041.0
110005 Cerejeiras;46383.0;29548.0;28426.0;18850.0;17253.0;140460.0
110092 Chupinguaia;52616.0;22833.0;11582.0;43941.0;12748.0;143720.0
110006 Colorado do Oeste;14111.0;5280.0;2510.0;16191.0;2738.0;40830.0
110007 Corumbiara;46307.0;7443.0;8722.0;8991.0;20439.0;91902.0
110008 Costa Marques;21446.0;2013.0;1006.0;1453.0;1551.0;27469.0
110094 Cujubim;17075.0;3188.0;12339.0;43114.0;41544.0;117260.0
110009 Espigão D'Oeste;178344.0;40646.0;41687.0;8854.0;7269.0;276800.0
110100 Governador Jorge Teixeira;2400.0;2659.0;2604.0;3924.0;1895.0;13482.0
110010 Guajará-Mirim;42419.0;5840.0;5283.0;38909.0;1051.0;93502.0
110110 Itapuã do Oeste;58637.0;36483.0;32289.0;14285.0;5856.0;147550.0
110011 Jaru;71293.0;51461.0;49954.0;105630.0;91962.0;370300.0
110012 Ji-Paraná;1396125.0;141576.0;660211.0;119233.0;124545.0;2441690.0
110013 Machadinho D'Oeste;33869.0;29454.0;26675.0;25273.0;16251.0;131522.0
110120 Ministro Andreazza;22113.0;252.0;197.0;434.0;328.0;23324.0
110130 Mirante da Serra;27370.0;18459.0;1126.0;875.0;383.0;48213.0
110140 Monte Negro;11113.0;2408.0;810.0;7304.0;47542.0;69177.0
110014 Nova Brasilândia D'Oeste;11249.0;50223.0;13212.0;4315.0;2573.0;81572.0
110033 Nova Mamoré;29366.0;46269.0;1104.0;6160.0;11499.0;94398.0
110143 Nova União;4403.0;0.0;197.0;1885.0;3058.0;9543.0
110050 Novo Horizonte do Oeste;15088.0;3636.0;767.0;7203.0;15236.0;41930.0
110015 Ouro Preto do Oeste;66586.0;6958.0;4650.0;51031.0;14456.0;143681.0
110145 Parecis;3467.0;940.0;206.0;553.0;3678.0;8844.0
110018 Pimenta Bueno;83018.0;3502.0;2482.0;3770.0;722.0;93494.0
110146 Pimenteiras do Oeste;8327.0;281.0;311.0;285.0;536.0;9740.0
110020 Porto Velho;768950.0;485000.0;114667.0;69937.0;88942.0;1527496.0
110025 Presidente Médici;6177.0;91767.0;1560.0;10797.0;57713.0;168014.0
110147 Primavera de Rondônia;24167.0;8884.0;8388.0;6292.0;6705.0;54436.0
110026 Rio Crespo;9210.0;160.0;195.0;100.0;74.0;9739.0
110028 Rolim de Moura;152459.0;2029.0;3604.0;1887.0;29706.0;189685.0
110029 Santa Luzia D'Oeste;61552.0;7590.0;8499.0;51776.0;58768.0;188185.0
110148 São Felipe D'Oeste;16738.0;23124.0;28058.0;13306.0;4007.0;85233.0
110149 São Francisco do Guaporé;39349.0;68593.0;94728.0;87928.0;96482.0;387080.0
110032 São Miguel do Guaporé;8734.0;1230.0;771.0;9294.0;66113.0;86142.0
110150 Seringueiras;38775.0;104.0;609.0;172.0;220.0;39880.0
110155 Teixeirópolis;4665.0;153.0;125.0;351.0;265.0;5559.0
110160 Theobroma;4919.0;1660.0;2856.0;824.0;273.0;10532.0
110170 Urupá;35020.0;549.0;723.0;542.0;534.0;37368.0
110175 Vale do Anari;21541.0;21036.0;18495.0;2712.0;3981.0;67765.0
110180 Vale do Paraíso;851.0;719.0;364.0;748.0;1686.0;4368.0
110030 Vilhena;67344.0;17510.0;27067.0;34637.0;32220.0;178778.0
120001 Acrelândia;56298.0;896.0;1248.0;1900.0;1284.0;61626.0
120005 Assis Brasil;17313.0;261.0;0.0;0.0;0.0;17574.0
120010 Brasiléia;70078.0;8871.0;4392.0;1039.0;939.0;85319.0
120013 Bujari;19588.0;106.0;147.0;156.0;631.0;20628.0
120017 Capixaba;16704.0;192.0;208.0;122.0;666.0;17892.0
120020 Cruzeiro do Sul;237640.0;346433.0;248099.0;215073.0;246998.0;1294243.0
120025 Epitaciolândia;37861.0;404.0;108.0;0.0;0.0;38373.0
120030 Feijó;45755.0;9474.0;827.0;560.0;1087.0;57703.0
120032 Jordão;11664.0;170.0;219.0;799.0;742.0;13594.0
120033 Mâncio Lima;36760.0;582.0;2050.0;2443.0;1119.0;42954.0
120034 Manoel Urbano;7551.0;204.0;262.0;568.0;596.0;9181.0
120035 Marechal Thaumaturgo;42422.0;225.0;163.0;149.0;247.0;43206.0
120038 Plácido de Castro;77716.0;85955.0;1430.0;872.0;1062.0;167035.0
120080 Porto Acre;24003.0;358.0;217.0;198.0;194.0;24970.0
120039 Porto Walter;12313.0;3915.0;4728.0;1053.0;2092.0;24101.0
120040 Rio Branco;656988.0;90480.0;138398.0;138952.0;303562.0;1328380.0
120042 Rodrigues Alves;19576.0;532.0;4547.0;390.0;227.0;25272.0
120043 Santa Rosa do Purus;6561.0;711.0;480.0;436.0;306.0;8494.0
120050 Sena Madureira;51805.0;2354.0;2242.0;2744.0;2728.0;61873.0
120045 Senador Guiomard;67153.0;704.0;494.0;289.0;313.0;68953.0
120060 Tarauacá;94627.0;680.0;611.0;638.0;710.0;97266.0
120070 Xapuri;2159.0;220.0;195.0;350.0;485.0;3409.0
130002 Alvarães;6188.0;0.0;0.0;0.0;0.0;6188.0
130006 Amaturá;25948.0;92.0;1041.0;261.0;0.0;27342.0
130008 Anamã;1620.0;0.0;0.0;0.0;0.0;1620.0
130010 Anori;28664.0;2713.0;2265.0;2606.0;1592.0;37840.0
130014 Apuí;53283.0;537.0;550.0;372.0;430.0;55172.0
130020 Atalaia do Norte;103037.0;85945.0;332169.0;5802.0;366.0;527319.0
130030 Autazes;237599.0;785.0;1070.0;1333.0;1512.0;242299.0
130040 Barcelos;54203.0;1175.0;305.0;1294.0;680.0;57657.0
130050 Barreirinha;73292.0;1060.0;961.0;346.0;323.0;75982.0
130060 Benjamin Constant;91636.0;1664.0;4385.0;11844.0;7869.0;117398.0
130063 Beruri;137614.0;4650.0;3434.0;3063.0;5224.0;153985.0
130068 Boa Vista do Ramos;28358.0;3409.0;1188.0;2441.0;3244.0;38640.0
130070 Boca do Acre;20887.0;2910.0;3306.0;1698.0;3134.0;31935.0
130080 Borba;134584.0;4375.0;1095.0;495.0;1121.0;141670.0
130083 Caapiranga;43189.0;1161.0;790.0;672.0;289.0;46101.0
130090 Canutama;73135.0;309.0;395.0;326.0;326.0;74491.0
130100 Carauari;5511.0;1202.0;891.0;9088.0;33123.0;49815.0
130110 Careiro;65469.0;636.0;414.0;751.0;680.0;67950.0
130115 Careiro da Várzea;30628.0;1319.0;1032.0;578.0;653.0;34210.0
130120 Coari;165697.0;3997.0;2904.0;1479.0;3559.0;177636.0
130130 Codajás;39967.0;1022.0;1105.0;885.0;676.0;43655.0
130140 Eirunepé;111043.0;82118.0;48950.0;46442.0;45292.0;333845.0
