Mun;2017;2018;2019;2020;2021;Total
110001 Alta Floresta D'Oeste;207930.0;195058.0;211018.0;140744.0;141579.0;896329.0
110037 Alto Alegre dos Parecis;22356.0;42418.0;38901.0;42160.0;15444.0;161279.0
110040 Alto Paraíso;74541.0;80839.0;435630.0;48175.0;51581.0;690766.0
110034 Alvorada D'Oeste;73656.0;60224.0;54677.0;18669.0;23555.0;230781.0
110002 Ariquemes;600068.0;744660.0;895976.0;751039.0;932642.0;3924385.0
110045 Buritis;114845.0;80388.0;74540.0;128896.0;214715.0;613384.0
110003 Cabixi;34424.0;29098.0;30717.0;14328.0;16739.0;125306.0
110060 Cacaulândia;4704.0;8406.0;8189.0;9258.0;20500.0;51057.0
110004 Cacoal;822309.0;612749.0;593549.0;340191.0;430072.0;2798870.0
110070 Campo Novo de Rondônia;216944.0;72342.0;62583.0;39575.0;55652.0;447096.0
110080 Candeias do Jamari;116522.0;59045.0;71717.0;28453.0;45032.0;320769.0
110090 Castanheiras;36824.0;24542.0;27791.0;18420.0;10272.0;117849.0
110005 Cerejeiras;117730.0;127885.0;118167.0;79376.0;69318.0;512476.0
110092 Chupinguaia;47860.0;38078.0;68638.0;152203.0;16240.0;323019.0
110006 Colorado do Oeste;107157.0;81701.0;98801.0;84583.0;74899.0;447141.0
110007 Corumbiara;160564.0;22911.0;24324.0;10760.0;34014.0;252573.0
110008 Costa Marques;29841.0;22207.0;22260.0;19644.0;20291.0;114243.0
110094 Cujubim;107323.0;99294.0;77979.0;919484.0;448494.0;1652574.0
110009 Espigão D'Oeste;178372.0;145018.0;252153.0;185651.0;176336.0;937530.0
110100 Governador Jorge Teixeira;89943.0;74180.0;105912.0;401324.0;19909.0;691268.0
110010 Guajará-Mirim;317302.0;185456.0;227459.0;193623.0;86159.0;1009999.0
110110 Itapuã do Oeste;96011.0;92122.0;98807.0;49336.0;31293.0;367569.0
110011 Jaru;546894.0;786388.0;858116.0;1061790.0;1219290.0;4472478.0
110012 Ji-Paraná;3514462.0;3451850.0;4339936.0;1759656.0;2254500.0;15320404.0
110013 Machadinho D'Oeste;147688.0;144058.0;154929.0;124393.0;130914.0;701982.0
110120 Ministro Andreazza;33600.0;5651.0;5548.0;3133.0;2500.0;50432.0
110130 Mirante da Serra;35032.0;47676.0;44127.0;36923.0;42337.0;206095.0
110140 Monte Negro;99219.0;153537.0;88253.0;61871.0;65412.0;468292.0
110014 Nova Brasilândia D'Oeste;51682.0;119717.0;125559.0;76111.0;68940.0;442009.0
110033 Nova Mamoré;137132.0;94211.0;76066.0;65709.0;73352.0;446470.0
110143 Nova União;23435.0;31649.0;30017.0;21005.0;57083.0;163189.0
110050 Novo Horizonte do Oeste;40994.0;40527.0;31911.0;15442.0;80928.0;209802.0
110015 Ouro Preto do Oeste;163772.0;120959.0;135562.0;130578.0;107333.0;658204.0
110145 Parecis;34438.0;11464.0;6930.0;8134.0;8239.0;69205.0
110018 Pimenta Bueno;215544.0;226957.0;208843.0;137875.0;173559.0;962778.0
110146 Pimenteiras do Oeste;11234.0;6821.0;7500.0;8614.0;8351.0;42520.0
110020 Porto Velho;5019297.0;4556325.0;5414257.0;4077302.0;4520319.0;23587500.0
110025 Presidente Médici;56331.0;93100.0;95566.0;48536.0;105538.0;399071.0
110147 Primavera de Rondônia;16414.0;0.0;0.0;0.0;1.0;16415.0
110026 Rio Crespo;11259.0;7667.0;12068.0;8111.0;8096.0;47201.0
110028 Rolim de Moura;375403.0;309757.0;326835.0;207365.0;276220.0;1495580.0
110029 Santa Luzia D'Oeste;74631.0;54093.0;60502.0;48224.0;55032.0;292482.0
