Mun;2017;2018;2019;2020;2021;Total
110001 Alta Floresta D'Oeste;83656.0;77011.0;64603.0;45155.0;77596.0;348021.0
110037 Alto Alegre dos Parecis;7980.0;11543.0;15183.0;24268.0;23341.0;82315.0
110040 Alto Paraíso;14572.0;9447.0;28919.0;39331.0;30545.0;122814.0
110034 Alvorada D'Oeste;27280.0;49989.0;8830.0;77.0;612.0;86788.0
110002 Ariquemes;253483.0;370510.0;472486.0;483701.0;604266.0;2184446.0
110045 Buritis;120695.0;110406.0;152562.0;102458.0;122285.0;608406.0
110003 Cabixi;18779.0;19746.0;27491.0;17405.0;19328.0;102749.0
110060 Cacaulândia;12020.0;13250.0;16367.0;17575.0;28618.0;87830.0
110004 Cacoal;560827.0;717218.0;793455.0;353364.0;413212.0;2838076.0
110070 Campo Novo de Rondônia;32717.0;81736.0;55744.0;29762.0;34874.0;234833.0
110080 Candeias do Jamari;62358.0;61863.0;56822.0;1298.0;11634.0;193975.0
110090 Castanheiras;785.0;166.0;3942.0;3491.0;5304.0;13688.0
110005 Cerejeiras;33911.0;30747.0;27931.0;27791.0;48212.0;168592.0
110092 Chupinguaia;5341.0;8461.0;16281.0;18908.0;20962.0;69953.0
110006 Colorado do Oeste;12128.0;14079.0;26210.0;12605.0;26504.0;91526.0
110007 Corumbiara;1428.0;1087.0;1301.0;469.0;1271.0;5556.0
110008 Costa Marques;2640.0;2217.0;36541.0;26265.0;52199.0;119862.0
110094 Cujubim;9225.0;46410.0;64101.0;60698.0;100285.0;280719.0
110009 Espigão D'Oeste;69721.0;68762.0;85862.0;73728.0;74433.0;372506.0
110100 Governador Jorge Teixeira;7624.0;951.0;25923.0;953.0;757.0;36208.0
110010 Guajará-Mirim;93099.0;67803.0;48815.0;69036.0;55936.0;334689.0
110110 Itapuã do Oeste;16831.0;23840.0;32249.0;27462.0;25858.0;126240.0
110011 Jaru;238802.0;276311.0;331753.0;262537.0;370189.0;1479592.0
110012 Ji-Paraná;337485.0;1590231.0;365627.0;439811.0;903776.0;3636930.0
110013 Machadinho D'Oeste;87208.0;97810.0;78161.0;76407.0;101352.0;440938.0
110120 Ministro Andreazza;5311.0;24.0;0.0;0.0;203.0;5538.0
