Mun;2017;2018;2019;2020;2021;Total
110001 Alta Floresta D'Oeste;1851.0;1857.0;2070.0;1158.0;1289.0;8225.0
110037 Alto Alegre dos Parecis;603.0;407.0;379.0;325.0;566.0;2280.0
110040 Alto Paraíso;405.0;477.0;486.0;332.0;262.0;1962.0
110034 Alvorada D'Oeste;608.0;716.0;605.0;351.0;446.0;2726.0
110002 Ariquemes;4892.0;4226.0;4724.0;4757.0;6241.0;24840.0
110045 Buritis;532.0;616.0;833.0;789.0;924.0;3694.0
110003 Cabixi;291.0;266.0;285.0;236.0;195.0;1273.0
110060 Cacaulândia;43.0;42.0;49.0;35.0;141.0;310.0
110004 Cacoal;7530.0;8413.0;7803.0;5583.0;6105.0;35434.0
110070 Campo Novo de Rondônia;273.0;362.0;239.0;67.0;60.0;1001.0
110080 Candeias do Jamari;0.0;0.0;0.0;0.0;0.0;0.0
110090 Castanheiras;0.0;0.0;0.0;0.0;0.0;0.0
110005 Cerejeiras;1080.0;1109.0;949.0;613.0;611.0;4362.0
110092 Chupinguaia;0.0;0.0;0.0;0.0;0.0;0.0
110006 Colorado do Oeste;803.0;784.0;751.0;404.0;363.0;3105.0
110007 Corumbiara;0.0;0.0;0.0;0.0;0.0;0.0
110008 Costa Marques;389.0;595.0;404.0;203.0;182.0;1773.0
110094 Cujubim;1027.0;848.0;594.0;293.0;773.0;3535.0
110009 Espigão D'Oeste;1313.0;1832.0;1862.0;1245.0;1078.0;7330.0
110100 Governador Jorge Teixeira;20.0;0.0;0.0;0.0;0.0;20.0
110010 Guajará-Mirim;2938.0;2783.0;2553.0;2156.0;2406.0;12836.0
110110 Itapuã do Oeste;76.0;38.0;0.0;20.0;76.0;210.0
110011 Jaru;1950.0;2305.0;2433.0;1840.0;2213.0;10741.0
110012 Ji-Paraná;5030.0;5318.0;5020.0;3825.0;5206.0;24399.0
110013 Machadinho D'Oeste;762.0;1218.0;1564.0;1026.0;901.0;5471.0
110120 Ministro Andreazza;246.0;142.0;143.0;98.0;94.0;723.0
110130 Mirante da Serra;558.0;307.0;319.0;222.0;223.0;1629.0
110140 Monte Negro;155.0;307.0;311.0;239.0;269.0;1281.0
110014 Nova Brasilândia D'Oeste;987.0;676.0;445.0;422.0;478.0;3008.0
110033 Nova Mamoré;422.0;446.0;619.0;530.0;665.0;2682.0
110143 Nova União;96.0;87.0;100.0;48.0;185.0;516.0
110050 Novo Horizonte do Oeste;488.0;368.0;518.0;309.0;339.0;2022.0
110015 Ouro Preto do Oeste;1636.0;1961.0;2053.0;1459.0;1578.0;8687.0
110145 Parecis;239.0;239.0;239.0;240.0;210.0;1167.0
110018 Pimenta Bueno;2456.0;2824.0;2479.0;2829.0;2414.0;13002.0
110146 Pimenteiras do Oeste;118.0;119.0;117.0;58.0;28.0;440.0
110020 Porto Velho;23244.0;24168.0;27372.0;28996.0;32475.0;136255.0
110025 Presidente Médici;586.0;602.0;599.0;345.0;537.0;2669.0
110147 Primavera de Rondônia;0.0;0.0;0.0;0.0;0.0;0.0
110026 Rio Crespo;71.0;91.0;116.0;72.0;43.0;393.0
110028 Rolim de Moura;3402.0;2842.0;3250.0;2239.0;1871.0;13604.0
110029 Santa Luzia D'Oeste;630.0;710.0;668.0;383.0;391.0;2782.0
110148 São Felipe D'Oeste;0.0;0.0;0.0;0.0;0.0;0.0
110149 São Francisco do Guaporé;996.0;753.0;896.0;619.0;546.0;3810.0
110032 São Miguel do Guaporé;1083.0;969.0;628.0;693.0;1076.0;4449.0
110150 Seringueiras;448.0;406.0;331.0;323.0;253.0;1761.0
110155 Teixeirópolis;40.0;26.0;115.0;58.0;88.0;327.0
110160 Theobroma;162.0;193.0;160.0;115.0;88.0;718.0
110170 Urupá;319.0;218.0;278.0;145.0;243.0;1203.0
110175 Vale do Anari;147.0;106.0;97.0;0.0;46.0;396.0
110180 Vale do Paraíso;94.0;143.0;71.0;84.0;171.0;563.0
110030 Vilhena;6560.0;6910.0;7306.0;6408.0;6193.0;33377.0
120001 Acrelândia;60.0;107.0;106.0;86.0;62.0;421.0
120005 Assis Brasil;161.0;191.0;139.0;296.0;380.0;1167.0
120010 Brasiléia;1759.0;1808.0;1556.0;1586.0;2014.0;8723.0
120013 Bujari;0.0;0.0;0.0;0.0;0.0;0.0
120017 Capixaba;0.0;0.0;0.0;0.0;0.0;0.0
120020 Cruzeiro do Sul;4171.0;4714.0;5320.0;4462.0;5997.0;24664.0
120025 Epitaciolândia;0.0;0.0;0.0;0.0;0.0;0.0
120030 Feijó;153.0;314.0;236.0;152.0;544.0;1399.0
120032 Jordão;0.0;0.0;0.0;0.0;0.0;0.0
120033 Mâncio Lima;293.0;212.0;103.0;71.0;207.0;886.0
120034 Manoel Urbano;513.0;297.0;323.0;245.0;333.0;1711.0
120035 Marechal Thaumaturgo;0.0;75.0;147.0;372.0;308.0;902.0
120038 Plácido de Castro;622.0;465.0;594.0;316.0;275.0;2272.0
120080 Porto Acre;0.0;0.0;0.0;0.0;0.0;0.0
120039 Porto Walter;345.0;279.0;18.0;13.0;0.0;655.0
120040 Rio Branco;13808.0;14915.0;15316.0;15096.0;16127.0;75262.0
120042 Rodrigues Alves;178.0;229.0;172.0;277.0;230.0;1086.0
120043 Santa Rosa do Purus;84.0;110.0;94.0;10.0;241.0;539.0
120050 Sena Madureira;2578.0;2553.0;2000.0;1731.0;1845.0;10707.0
120045 Senador Guiomard;406.0;582.0;481.0;190.0;414.0;2073.0
120060 Tarauacá;1739.0;1874.0;1636.0;1238.0;1455.0;7942.0
120070 Xapuri;862.0;700.0;582.0;513.0;811.0;3468.0
130002 Alvarães;516.0;618.0;740.0;574.0;468.0;2916.0
