Mun;2017;2018;2019;2020;2021;Total
110001 Alta Floresta D'Oeste;136.0;189.0;160.0;89.0;96.0;670.0
110037 Alto Alegre dos Parecis;0.0;0.0;0.0;0.0;0.0;0.0
110040 Alto Paraíso;0.0;0.0;0.0;0.0;0.0;0.0
110034 Alvorada D'Oeste;4.0;11.0;5.0;28.0;112.0;160.0
110002 Ariquemes;1472.0;1540.0;1331.0;1101.0;1334.0;6778.0
110045 Buritis;48.0;112.0;92.0;104.0;92.0;448.0
110003 Cabixi;0.0;0.0;0.0;0.0;0.0;0.0
110060 Cacaulândia;0.0;0.0;0.0;0.0;0.0;0.0
110004 Cacoal;4772.0;5119.0;5429.0;4223.0;4354.0;23897.0
110070 Campo Novo de Rondônia;0.0;0.0;0.0;0.0;0.0;0.0
110080 Candeias do Jamari;0.0;0.0;0.0;0.0;0.0;0.0
110090 Castanheiras;0.0;0.0;0.0;0.0;0.0;0.0
110005 Cerejeiras;81.0;91.0;50.0;143.0;166.0;531.0
110092 Chupinguaia;0.0;0.0;0.0;0.0;0.0;0.0
110006 Colorado do Oeste;0.0;1.0;0.0;0.0;0.0;1.0
110007 Corumbiara;0.0;0.0;0.0;0.0;0.0;0.0
110008 Costa Marques;0.0;0.0;0.0;0.0;0.0;0.0
110094 Cujubim;0.0;0.0;0.0;0.0;0.0;0.0
110009 Espigão D'Oeste;211.0;234.0;291.0;152.0;87.0;975.0
110100 Governador Jorge Teixeira;0.0;0.0;0.0;0.0;0.0;0.0
110010 Guajará-Mirim;637.0;550.0;515.0;626.0;617.0;2945.0
110110 Itapuã do Oeste;0.0;0.0;0.0;0.0;0.0;0.0
110011 Jaru;634.0;1106.0;1040.0;811.0;799.0;4390.0
110012 Ji-Paraná;2581.0;2622.0;2951.0;2034.0;2789.0;12977.0
110013 Machadinho D'Oeste;103.0;386.0;266.0;341.0;227.0;1323.0
110120 Ministro Andreazza;0.0;0.0;0.0;0.0;0.0;0.0
110130 Mirante da Serra;0.0;1.0;0.0;0.0;0.0;1.0
110140 Monte Negro;0.0;226.0;183.0;4.0;0.0;413.0
110014 Nova Brasilândia D'Oeste;1.0;118.0;337.0;51.0;307.0;814.0
110033 Nova Mamoré;2.0;0.0;0.0;0.0;0.0;2.0
110143 Nova União;0.0;0.0;0.0;0.0;0.0;0.0
110050 Novo Horizonte do Oeste;0.0;0.0;0.0;0.0;0.0;0.0
110015 Ouro Preto do Oeste;734.0;711.0;636.0;754.0;991.0;3826.0
110145 Parecis;0.0;0.0;0.0;0.0;0.0;0.0
110018 Pimenta Bueno;422.0;381.0;341.0;395.0;293.0;1832.0
110146 Pimenteiras do Oeste;0.0;0.0;0.0;0.0;0.0;0.0
110020 Porto Velho;18078.0;20408.0;19932.0;15865.0;17116.0;91399.0
110025 Presidente Médici;411.0;361.0;345.0;234.0;166.0;1517.0
110147 Primavera de Rondônia;0.0;0.0;0.0;0.0;0.0;0.0
110026 Rio Crespo;0.0;0.0;0.0;0.0;0.0;0.0
110028 Rolim de Moura;1101.0;1104.0;1304.0;1118.0;1003.0;5630.0
110029 Santa Luzia D'Oeste;0.0;0.0;0.0;0.0;0.0;0.0
110148 São Felipe D'Oeste;0.0;0.0;0.0;0.0;0.0;0.0
110149 São Francisco do Guaporé;622.0;704.0;576.0;484.0;307.0;2693.0
110032 São Miguel do Guaporé;497.0;467.0;381.0;544.0;494.0;2383.0
110150 Seringueiras;208.0;139.0;118.0;84.0;323.0;872.0
110155 Teixeirópolis;0.0;0.0;0.0;0.0;0.0;0.0
110160 Theobroma;0.0;0.0;0.0;0.0;0.0;0.0
110170 Urupá;0.0;0.0;0.0;0.0;12.0;12.0
110175 Vale do Anari;0.0;0.0;0.0;0.0;0.0;0.0
110180 Vale do Paraíso;0.0;0.0;0.0;0.0;0.0;0.0
110030 Vilhena;2842.0;3176.0;3490.0;2986.0;2843.0;15337.0
120001 Acrelândia;0.0;0.0;0.0;0.0;0.0;0.0
120005 Assis Brasil;0.0;0.0;0.0;0.0;0.0;0.0
120010 Brasiléia;580.0;632.0;690.0;621.0;691.0;3214.0
120013 Bujari;0.0;0.0;0.0;0.0;0.0;0.0
120017 Capixaba;0.0;0.0;0.0;0.0;0.0;0.0
120020 Cruzeiro do Sul;3311.0;3261.0;3562.0;3402.0;3485.0;17021.0
120025 Epitaciolândia;0.0;0.0;0.0;0.0;0.0;0.0
120030 Feijó;20.0;64.0;50.0;27.0;80.0;241.0
120032 Jordão;0.0;0.0;0.0;0.0;0.0;0.0
120033 Mâncio Lima;0.0;0.0;0.0;0.0;0.0;0.0
120034 Manoel Urbano;0.0;0.0;0.0;0.0;0.0;0.0
120035 Marechal Thaumaturgo;0.0;0.0;0.0;0.0;0.0;0.0
120038 Plácido de Castro;0.0;0.0;0.0;0.0;0.0;0.0
120080 Porto Acre;0.0;0.0;0.0;0.0;0.0;0.0
